#IDX 	 Time Stamp 	 FR->Dedup 	 Dedup->comp 	 Dedup->RR 	 Comp->RR 	 Service Time 
0	4.477	337.860	452203.653	664.621	1139.827	184353.213
1	5.478	486.135	1332487.449	0.000	1087.952	1747861.620
2	6.479	259.056	2228255.976	0.000	1096.828	3977584.329
3	7.480	229.604	3096791.361	4761.120	1492.508	5415339.571
4	8.780	230.813	3592202.854	0.000	5084.112	201653976.006
5	9.780	330.359	4629642.037	1090712.090	352524.365	7589440.626
6	10.780	222.574	6041733.166	0.000	1180.571	24306200.702
7	12.078	227.647	6928620.919	0.000	1186.137	32115987.721
8	13.079	662.256	5184802.742	0.000	40923.184	23308832.936
9	14.080	223.494	6168291.458	0.000	886.624	36146532.390
10	15.080	2310.863	7004914.174	8973.461	1346.594	37257045.256
11	16.080	1066.474	7888432.908	33953.099	20660.097	41054231.487
12	17.082	268.531	8765342.802	0.000	5956.734	60043772.077
13	18.082	224.394	9617316.456	0.000	951.786	71148780.670
14	19.083	13064.759	5233974.319	0.000	910.162	73293756.921
15	20.084	7522.299	4566016.875	0.000	922.084	79028017.142
16	21.089	819.806	5404331.093	0.000	896.254	88503559.329
17	22.089	213.039	6270207.005	0.000	2954.236	82277265.373
18	23.090	317.971	7157448.187	0.000	901.974	96432234.111
19	24.090	2472.181	8016291.927	0.000	928.052	105365027.729
20	25.091	18422.053	8868381.949	8126522.950	50948.155	121903382.445
21	26.092	3786.976	9762105.425	316.175	23420.700	85733768.324
22	27.092	320.945	10642426.303	695631.150	1708.410	134874674.277
23	28.093	271.638	4070270.356	0.000	11212.016	139601850.265
24	29.094	217.165	3293756.635	0.000	920.231	139847804.228
25	30.096	221.737	4158987.451	0.000	937.849	147817995.925
26	31.096	385.609	5015298.588	0.000	921.837	149364784.224
27	32.097	211.858	5870387.595	0.000	912.174	155470496.535
28	33.098	1012.427	6746516.128	0.000	39871.842	167549527.307
29	34.099	233.650	7624755.240	0.000	917.404	168902214.717
30	35.099	221.200	8502370.264	0.000	70226.325	190533111.209
31	36.100	275.682	9400055.250	0.000	5797.047	192551937.770
32	39.542	212.423	10000587.217	0.000	17034.969	500510308.332
33	40.543	2242.004	444146.690	10144.148	1193.610	174630496.197
34	41.544	229.806	1311386.503	10456.387	902.563	190257033.067
35	42.545	228.820	2175956.985	0.000	889.444	196071020.330
36	43.545	222.067	3045875.346	0.000	863.950	191955654.323
37	44.546	338.869	3928744.781	0.000	911.831	200677140.554
38	45.546	202.786	4798259.837	0.000	885.340	205163993.283
39	46.547	268.495	5653264.388	0.000	883.996	215058771.705
40	47.547	2688.358	6549412.105	0.000	15534.945	223419228.896
41	47.800	2732.143	7063586.852	0.000	1161.557	1053380758.018
