#Idex	Time Stamp	Current_Size	Time_Spent	Size_Processed	Throughput_by_Size	Memory_Usage
0	3.476110	0	0.000000	0	0.000000	0
1	4.477294	39295260	1.001184	39295260	39248780.609549	705492
2	5.488189	84619491	1.001910	45324231	45237828.049593	705492
3	6.499662	128879880	1.000371	44260389	44243975.400575	705492
4	7.513477	163548194	1.001251	34668314	34624998.739974	1089144
5	9.779998	274871591	1.000044	111323397	111318513.566063	1089144
6	10.802747	317672331	1.000037	42800740	42799158.362249	1089144
7	12.061730	357618637	1.239672	39946306	32223287.897002	1131592
8	13.078976	441051555	1.001011	83432918	83348641.421986	1131592
9	14.097476	494787676	1.000360	53736121	53716782.310842	1131592
10	15.115351	546177714	1.000344	51390038	51372363.954155	1399340
11	16.321339	608689186	1.000980	62511472	62450262.076400	1399340
12	17.345133	662317326	1.000149	53628140	53620149.975020	1399340
13	18.368657	713687513	1.001501	51370187	51293191.642824	1399340
14	19.390265	774545314	1.000871	60857801	60804843.443014	1399340
15	20.411880	832057271	1.001215	57511957	57442165.855343	1399340
16	21.432837	889343261	1.000917	57285990	57233509.284080	1399340
17	22.453059	946968375	1.000535	57625114	57594300.398960	1399340
18	23.475449	1004169696	1.001191	57201321	57133267.324455	1399340
19	24.500914	1057005810	1.001169	52836114	52774422.478972	1399340
20	25.526750	1111684275	1.000679	54678465	54641362.634320	1615552
21	26.770655	1174164153	1.000185	62479878	62468320.560016	1615552
22	27.798947	1233466645	1.000737	59302492	59258821.103463	1615552
23	28.817002	1306585347	1.000335	73118702	73094217.037790	1615552
24	29.837353	1363200433	1.000815	56615086	56568987.100657	1615552
25	30.859510	1417370565	1.001238	54170132	54103146.478764	1615552
26	31.882669	1471195721	1.000918	53825156	53775794.578146	1615552
27	32.931252	1512037772	1.027221	40842051	39759752.199560	1615552
28	33.955351	1578804074	1.000728	66766302	66717722.801774	1615552
29	34.979933	1629410371	1.000371	50606297	50587530.073045	1615552
30	36.005083	1680830956	1.000233	51420585	51408610.137876	1615552
31	39.541535	1704777360	3.511155	23946404	6820092.853708	1615552
32	40.562583	1755409872	1.001058	50632512	50579006.328718	1615552
33	41.584665	1808177039	1.000772	52767167	52726462.204969	1615552
34	42.601868	1859676233	1.000147	51499194	51491619.363267	1615552
35	43.619705	1914160252	1.000798	54484019	54440563.159542	1615552
36	44.640922	1967963960	1.000701	53803708	53766020.674336	1615552
37	45.657512	2020909933	1.000188	52945973	52936027.705183	1615552
38	46.674914	2072387686	1.000467	51477753	51453720.922381	1615552
39	47.693313	2124402692	1.000972	52015006	51964494.819747	1615552
40	47.791431	2127865052	0.080979	3462360	42756212.693147	1615552
