#IDX 	 Time Lapse 	 LOAD->SEG 	 SEG->EXTRACT 	 EXTRACT->VEC 	 VEC->RANK 	 RANK->OUT 	 Service Time 
0	1.169	1507.125	47.125	74718.750	74718.750	55.375	696285.375
1	2.309	1603.524	4029.524	387422.048	387422.048	26.238	1448833.571
2	3.345	986.286	166834.429	1022655.857	1022655.857	40.286	2667378.429
3	4.437	78491.542	898115.083	1317888.750	1317888.750	49.542	3360597.917
4	5.457	912602.500	1372789.083	930834.417	930834.417	40.375	4292509.208
5	6.715	1450289.562	815429.438	1092833.312	1092833.312	48.500	4354847.312
6	7.749	1053910.500	975876.500	954102.500	954102.500	37.000	4571754.667
7	8.761	825380.812	1058374.812	1196476.312	1196476.312	51.875	4846077.188
8	9.778	1060983.842	1132451.263	1666648.368	1666648.368	47.947	5118077.368
9	10.856	1148491.273	1643828.909	1208545.773	1208545.773	44.591	4961477.545
10	11.883	1617484.957	1152440.522	924544.652	924544.652	30.696	4734333.087
11	12.895	1151970.308	856447.923	1010253.538	1010253.538	47.154	4320829.308
12	13.991	934796.609	996643.435	1152725.522	1152725.522	45.304	4168080.522
13	15.420	974381.556	1014089.111	1221545.556	1221545.556	46.000	4874333.778
14	16.436	1058305.333	1204327.708	1271096.792	1271096.792	29.125	5123848.875
15	17.511	1197614.947	1313234.000	1499257.368	1499257.368	27.000	5075701.421
16	18.539	1014054.000	1820557.462	937540.308	937540.308	33.692	4975709.538
17	19.623	1920083.188	935591.688	1122423.250	1122423.250	33.938	5717047.188
18	20.701	1018195.286	1094492.190	1579821.905	1579821.905	16.429	4762546.762
19	21.723	1085533.350	1598553.750	999194.050	999194.050	17.700	4897758.200
20	22.815	1594473.000	998827.368	1167285.947	1167285.947	45.842	4932140.737
21	23.913	1019241.182	1151370.273	1115403.409	1115403.409	38.818	4291904.500
22	24.936	1172843.765	1120041.647	943892.824	943892.824	32.529	4488025.941
23	26.088	1112169.615	977834.692	1088105.923	1088105.923	35.308	4510803.462
24	27.245	1055949.625	965213.812	1265273.812	1265273.812	18.000	4953468.062
25	28.408	964729.190	1263411.905	1525004.810	1525004.810	16.238	5064334.762
26	29.430	1253374.778	1532715.000	1274319.667	1274319.667	25.167	5306044.556
27	30.487	1425870.375	1377059.062	1139106.375	1139106.375	35.125	5257109.688
28	31.541	1574428.533	1060834.267	1269395.400	1269395.400	39.067	5262161.267
29	32.590	1089507.750	1251352.417	1280128.042	1280128.042	37.542	4746749.000
30	33.773	1241571.783	1289666.087	1009417.435	1009417.435	16.304	4445293.174
31	34.798	1270763.136	952698.045	875478.636	875478.636	33.364	4208495.364
32	35.817	921098.958	893796.500	1070897.458	1070897.458	45.292	3921580.375
33	36.852	857521.000	1104350.467	1051681.000	1051681.000	22.933	4004724.867
34	37.934	1010322.818	1092570.273	830753.000	830753.000	19.000	4179688.818
35	38.954	1103334.182	903449.727	1129799.227	1129799.227	21.955	4668365.455
36	39.967	883125.062	1086081.875	1550960.562	1550960.562	251.688	4714466.062
37	41.061	1003526.500	1509299.929	1133954.643	1133954.643	19.000	4972746.214
38	42.203	1294209.500	1320946.333	1212061.833	1212061.833	9.833	5439172.750
39	43.474	1428401.579	1170661.474	1413833.579	1413833.579	10.474	5494686.211
40	44.615	1140624.875	1348326.562	1507157.875	1507157.875	9.125	5544526.000
41	45.631	1298973.167	1563585.611	1382313.944	1382313.944	11.222	5733030.278
42	46.697	1594086.312	1288694.500	1527558.812	1527558.812	11.125	5760714.938
43	48.364	1269544.500	1712107.200	1235751.700	1235751.700	9.500	5566804.100
44	49.399	1413091.538	1355497.154	1302539.000	1302539.000	15.308	6474423.385
45	50.555	1519920.765	1284067.529	1802748.706	1802748.706	41.059	6562663.235
46	51.571	1265666.111	1659965.444	2044529.389	2044529.389	14.111	6483958.056
47	52.603	1260385.308	2400208.692	1500962.385	1500962.385	16.077	6386362.077
48	53.802	2389802.412	1439267.294	1263376.176	1263376.176	37.588	6495121.588
49	55.200	1542249.450	1319957.600	1310994.000	1310994.000	15.100	5629816.600
50	56.209	1439542.333	1297565.583	1454180.750	1454180.750	8.583	5594811.083
51	57.334	1185222.250	1370118.562	1315283.625	1315283.625	15.875	5606178.375
52	58.421	1336570.882	1396441.588	1633483.294	1633483.294	11.647	5716992.294
53	59.497	1395071.000	1550226.350	1323368.500	1323368.500	13.350	5498206.700
54	60.561	1554793.444	1308566.889	1222758.833	1222758.833	9.611	5473088.222
55	61.698	1401894.538	1333556.769	1219745.154	1219745.154	9.615	5074891.231
56	62.822	1276267.526	1150196.474	1197042.947	1197042.947	318.842	5291615.579
57	63.873	1059081.143	1344882.429	1567739.286	1567739.286	62.643	5297737.429
58	64.980	1402883.625	1303236.875	1430860.312	1430860.312	21.438	5547006.938
59	66.032	1029626.167	1575091.333	1273083.333	1273083.333	14.500	5561269.167
60	67.042	1413051.286	1368795.905	1416672.333	1416672.333	28.238	6050070.095
61	68.237	1366873.783	1476115.304	1687183.000	1687183.000	26.565	5529742.739
62	69.251	1223386.333	1903078.333	941576.556	941576.556	29.222	5451900.889
63	70.327	1714168.643	1331772.786	987716.286	987716.286	114.714	5844847.429
64	71.377	1489835.300	966847.300	1618756.750	1618756.750	270.500	5436555.850
65	72.581	962438.833	1462312.250	1434722.833	1434722.833	17.833	5027365.583
66	73.658	1151436.533	1702239.867	1103285.533	1103285.533	9.333	5732008.600
67	74.757	1734846.500	1202082.800	1390255.100	1390255.100	34.300	6282724.400
68	75.813	1386554.429	1257103.048	1776280.048	1776280.048	8.524	5955897.333
69	76.820	1070620.786	1795997.429	1692559.000	1692559.000	12.571	5891746.143
70	77.872	1715873.625	1742098.750	1101125.062	1101125.062	38.625	5975424.812
71	78.915	1812128.667	1178674.467	1459710.133	1459710.133	39.267	5780858.733
72	79.944	1305569.050	1400214.850	1245940.800	1245940.800	39.900	5325326.450
73	80.984	1331860.800	1194819.800	1486076.100	1486076.100	36.400	5069054.800
74	82.034	1318798.652	1379655.304	1108437.826	1108437.826	23.609	5286098.870
75	83.063	1408796.769	1010547.769	1552420.308	1552420.308	32.538	5119665.154
76	84.591	1162767.222	1402076.167	1119860.667	1119860.667	36.611	5049892.278
77	85.623	1370430.083	1183476.875	1335809.542	1335809.542	40.875	5424801.208
78	86.632	1086517.000	1287215.778	1590834.667	1590834.667	39.000	5283152.222
79	87.676	1213034.864	1501052.545	1319022.409	1319022.409	38.409	5472545.545
80	88.751	1518784.905	1284737.190	1371327.095	1371327.095	27.143	5017707.286
81	89.763	1236665.857	1509297.714	730352.714	730352.714	47.429	4750971.929
82	91.366	1468826.000	814086.684	1111799.158	1111799.158	44.684	4751463.158
83	92.547	830930.217	1132671.130	1329913.783	1329913.783	193.261	4823891.478
84	93.567	1143543.444	1282720.278	1516390.111	1516390.111	363.000	5125620.833
85	94.596	1361589.280	1415190.160	1120416.840	1120416.840	42.600	4878261.080
86	95.602	1350145.700	1154031.000	886700.300	886700.300	38.850	4398494.150
87	96.607	1143126.773	878627.818	966354.818	966354.818	37.955	3967047.182
88	97.702	848419.143	979889.857	929637.857	929637.857	31.714	3768142.095
89	98.807	885790.125	1047049.125	954794.375	954794.375	41.750	4219527.000
