#Index 	 Time Leapse(s) 	 Time Spent(s) 	 Current Dequeue 	 Image Processed 	 Throughput By Image 	 Memmory Usage(kB)
0	1.169	1.101	8	8	7.269	101516.000
1	2.309	1.135	29	21	18.502	102520.000
2	3.345	1.016	43	14	13.777	102520.000
3	4.437	1.084	67	24	22.144	111648.000
4	5.457	1.014	91	24	23.661	111648.000
5	6.715	1.250	107	16	12.795	111648.000
6	7.749	1.029	119	12	11.657	111648.000
7	8.761	1.008	135	16	15.877	111648.000
8	9.778	1.012	154	19	18.775	111648.000
9	10.856	1.072	176	22	20.514	111648.000
10	11.883	1.020	199	23	22.543	111648.000
11	12.895	1.009	212	13	12.886	111648.000
12	13.991	1.092	235	23	21.066	111648.000
13	15.420	1.423	244	9	6.323	111648.000
14	16.436	1.010	268	24	23.767	111648.000
15	17.511	1.069	287	19	17.769	111648.000
16	18.539	1.017	300	13	12.777	111648.000
17	19.623	1.079	316	16	14.829	111648.000
18	20.701	1.073	337	21	19.569	111648.000
19	21.723	1.016	357	20	19.688	111648.000
20	22.815	1.084	376	19	17.530	111648.000
21	23.913	1.091	398	22	20.160	111648.000
22	24.936	1.019	415	17	16.688	111648.000
23	26.088	1.143	428	13	11.377	111648.000
24	27.245	1.152	444	16	13.890	111648.000
25	28.408	1.157	465	21	18.151	111648.000
26	29.430	1.004	483	18	17.927	111648.000
27	30.487	1.053	499	16	15.191	111648.000
28	31.541	1.049	514	15	14.304	111648.000
29	32.590	1.044	538	24	22.979	111648.000
30	33.773	1.178	561	23	19.518	111648.000
31	34.798	1.020	583	22	21.575	111648.000
32	35.817	1.014	607	24	23.662	111648.000
33	36.852	1.031	622	15	14.552	111648.000
34	37.934	1.077	633	11	10.215	111648.000
35	38.954	1.013	655	22	21.720	111648.000
36	39.967	1.008	671	16	15.874	111648.000
37	41.061	1.088	685	14	12.864	111648.000
38	42.203	1.134	697	12	10.582	111648.000
39	43.474	1.259	716	19	15.089	111648.000
40	44.615	1.136	732	16	14.089	111648.000
41	45.631	1.006	750	18	17.887	111648.000
42	46.697	1.062	766	16	15.068	111648.000
43	48.364	1.661	776	10	6.019	111648.000
44	49.399	1.028	789	13	12.647	111648.000
45	50.555	1.148	806	17	14.803	111648.000
46	51.571	1.010	824	18	17.820	111648.000
47	52.603	1.025	837	13	12.684	111648.000
48	53.802	1.180	854	17	14.407	111648.000
49	55.200	1.392	874	20	14.371	111648.000
50	56.209	1.003	886	12	11.962	111648.000
51	57.334	1.120	902	16	14.288	111648.000
52	58.421	1.078	919	17	15.776	111648.000
53	59.497	1.071	939	20	18.678	111648.000
54	60.561	1.042	957	18	17.267	111648.000
55	61.698	1.128	970	13	11.530	111648.000
56	62.822	1.113	989	19	17.065	111648.000
57	63.873	1.043	1003	14	13.426	111648.000
58	64.980	1.098	1019	16	14.576	111648.000
59	66.032	1.048	1025	6	5.726	111648.000
60	67.042	1.006	1046	21	20.882	111648.000
61	68.237	1.191	1069	23	19.312	111648.000
62	69.251	1.008	1078	9	8.929	111648.000
63	70.327	1.069	1092	14	13.092	111648.000
64	71.377	1.040	1112	20	19.227	111648.000
65	72.581	1.199	1124	12	10.010	111648.000
66	73.658	1.072	1139	15	13.999	111648.000
67	74.757	1.091	1149	10	9.166	111648.000
68	75.813	1.049	1170	21	20.028	111648.000
69	76.820	1.001	1184	14	13.981	111648.000
70	77.872	1.047	1200	16	15.285	111648.000
71	78.915	1.037	1215	15	14.462	111648.000
72	79.944	1.025	1235	20	19.518	111648.000
73	80.984	1.035	1245	10	9.657	111648.000
74	82.034	1.043	1268	23	22.041	111648.000
75	83.063	1.022	1281	13	12.722	111648.000
76	84.591	1.523	1299	18	11.817	111648.000
77	85.623	1.025	1323	24	23.416	111648.000
78	86.632	1.004	1332	9	8.962	111648.000
79	87.676	1.035	1354	22	21.263	111648.000
80	88.751	1.071	1375	21	19.616	111648.000
81	89.763	1.005	1389	14	13.924	111648.000
